Washington, D.C. Total				2833 	2793 	2273 	2650 	311.50206186 	397.63011492 	383.97269763 	409.9 	2.7830969563 	0.6096712528 	6.7523817519

Ward 1 				553 	536 	565 	601 	320.47537228 	435.65009029 	419.34791326 	422.9 	2.8121171569 	-0.592311507 	0.8470500572
	1 		Kalorama Hts./Adams Morgan    	306 	166 	205 	251 	384.50635166 	436.03137944 	431.74035666 	434.9 	1.2391730207 	-0.051948349 	0.7318387766
	2 		Columbia Hts./Mt. Pleasant    	219 	254 	263 	274 	274.96786942 	386.19144038 	389.12737191 	399 	3.7932461312 	0.6546980562 	2.5371199259
	3 		Howard Univ./Le Droit Pk.     	76 	142 	114 	107 	344.83150057 	513.051788 	484.64045411 	460.6 	2.9370457821 	-2.133840563 	-4.960472016

Ward 2 				1104 	796 	676 	879 	372.39238259 	460.81517427 	444.71699647 	449.9 	1.9087607518 	-0.478286615 	1.1654610848
	4 		Georgetown/Burleith           	85 	65 	67 	64 	467.89404353 	570.02728118 	368.91296298 	425.5 	-0.945273133 	-5.680653156 	15.338858403
	5 		West End/Foggy Bottom         	177 	130 	119 	138 	238.43367698 	476.61143911 	426.52402843 	445 	6.4386215391 	-1.363169214 	4.331753978
	6 		Dupont Circle/Conn. Av./K St. 	461 	175 	176 	238 	358.29146621 	408.52409067 	404.28565181 	411.75 	1.4004107802 	0.1574334568 	1.8463054921
	7 		Shaw/Logan Circle             	268 	378 	265 	383 	403.99445905 	456.72993337 	456.3402816 	460 	1.3067171641 	0.142786417 	0.8019713674

Ward 3 				582 	324 	355 	379 	305.73350515 	359.50119979 	336.06454847 	371 	1.9537225476 	0.6316776829 	10.395458757
	11 		Friendship Hts./AU Pk.        	18 	23 	18 	26 	235.869874 	674.17368936 	429.05082955 	433 	6.2628701858 	-8.474266226 	0.9204434954
	12 		N. Cleveland Pk./Forest Hills 	100 	48 	62 	60 	320.47537228 	348.06252525 	299.67861239 	319.75 	-0.022657347 	-1.682538389 	6.6976376614
	13 		Spring Valley/Palisades       	83 	54 	75 	74 	289.0687858 	325.16066473 	443.70627602 	379.5 	2.7592813132 	3.1389618079 	-14.47044576
	14 		Cathedral Hts./Glover Pk.     	283 	109 	110 	137 	299.06248981 	381.28915129 	332.47649088 	385 	2.5580792219 	0.1938941266 	15.797661055
	15 		Cleveland Pk./Woodley Pk.     	74 	77 	53 	64 	379.76331615 	353.78186252 	373.96656521 	394.5 	0.3814349571 	2.2026810632 	5.4907140632

Ward 4 				56 	102 	80 	77 	112.03819015 	268.9711719 	245.6050685 	265 	8.9903328582 	-0.297045548 	7.89679611
	17 		Takoma/Brightwood             	16 	29 	19 	18 	212.73155212 	265.70406857 	270.87307967 	287.5 	3.0577351677 	1.5892908914 	6.1382697583
	18 		Brightwood Pk./Crestwood      	40 	73 	59 	58 	101.07793242 	272.34939378 	243.58362761 	262.301 	10.005489949 	-0.749042164 	7.6841668598

Ward 5 				66 	129 	114 	155 	199.33568156 	277.79638165 	313.57601853 	309.82 	4.5086987739 	2.206042642 	-1.197801589
	21 		Edgewood/Bloomingdale         	37 	88 	74 	97 	228.81941581 	303.39722467 	344.85781635 	359.5 	4.6214180543 	3.4516586624 	4.2458610341
	23 		Ivy City/Trinidad             	0 	16 	18 	16 	- 	229.31818956 	168.03227423 	171.4 	- 	-5.655961527 	2.0042136438
	24 		Woodridge/Fort Lincoln        	11 	5 	7 	21 	196.25911798 	- 	- 	309.82 	4.6713825768 	- 	-

Ward 6 				282 	741 	455 	504 	256.5719421 	397.63011492 	348.69855405 	407.5 	4.7350019553 	0.4915786834 	16.863117231
	8 		Downtown/N. Capitol St.       	90 	347 	146 	172 	500.71713116 	454.27878882 	415.40610352 	459.95 	-0.845639634 	0.2484422285 	10.722975927
	9 		SW Employment Area/Waterfront 	94 	165 	149 	101 	211.5137457 	263.63421318 	230.44426181 	310 	3.896833056 	3.2932601131 	34.522768139
	25 		NoMa/Union Station/Stanton Pk.	99 	82 	93 	120 	309.25873425 	387.28083795 	358.80575851 	379.5 	2.0678532696 	-0.405087548 	5.7675332668
	26 		Capitol Hill/Lincoln Pk.      	82 	80 	56 	82 	262.40523482 	355.14360949 	346.12121691 	356.2 	3.1031993855 	0.0594202351 	2.9119229325
	27 		Near Southeast/Navy Yard      	0 	101 	74 	73 	- 	394.25298243 	454.77366491 	470 	- 	3.5772971985 	3.3481127566

Ward 7 				80 	63 	19 	44 	133.31775487 	217.77057527 	156.66166921 	107.095 	-2.166380682 	-13.23311637 	-31.63930875
	33 		Capitol View/Marshall Hts.    	28 	25 	13 	26 	147.74555613 	217.87951502 	156.66166921 	105.85 	-3.279698083 	-13.44445555 	-32.43401495
	35 		Fairfax Village/Naylor Gardens	26 	15 	3 	10 	91.015005727 	201.81090079 	- 	89.7835 	-0.136138989 	-14.95468735 	-

Ward 8 				110 	102 	9 	11 	122.93435281 	205.35144291 	- 	110 	-1.105544737 	-11.73693892 	-
	37 		Sheridan/Barry Farm           	78 	8 	8 	5 	137.80120533 	- 	- 	- 	- 	- 	-
	39 		Congress Hts./Bellevue        	26 	41 	0 	3 	115.36472451 	199.79551528 	- 	- 	- 	- 	-

